avg_arithmetic_operators_perline,avg_assignments_perline,avg_blank_lines,avg_branches_perline,avg_commas_perline,avg_comments_perline,avg_comparison_operators_perline,avg_identifier_length,avg_identifiers_perline,avg_indentation,avg_keywords_perline,avg_line_length,avg_loops_perline,avg_numbers_perline,avg_parenthesis_perline,avg_periods_perline,avg_spaces_perline,max_char_ocurrences,max_identifier_length,max_identifier_occurences,max_identifiers_perline,max_indentation,max_keywords_perline,max_line_length,max_numbers_perline,class
0.0,0.2,0.2,0.2,0.1,0.0,0.0,6.428571428571429,1.4,12.4,0.5,15.1,0.0,0.0,1.0,0.2,1.2,6.0,13.0,1.0,6.0,24.0,2.0,43.0,0.0,0
0.0,0.2,0.30000000000000004,0.30000000000000004,0.0,0.0,0.30000000000000004,7.0,1.7000000000000002,8.8,0.4,18.3,0.0,0.5,1.8,0.8,1.9,6.0,11.0,1.0,5.0,16.0,1.0,47.0,1.0,1
1.0,0.5,0.0,0.33333333333333304,0.16666666666666602,0.0,0.33333333333333304,8.181818181818182,3.666666666666666,12.666666666666664,0.33333333333333304,37.66666666666666,0.0,0.5,2.333333333333333,0.33333333333333304,4.5,6.0,19.0,2.0,10.0,16.0,1.0,87.0,1.0,0
0.6153846153846151,0.23076923076923,0.07692307692307601,0.07692307692307601,0.23076923076923,0.07692307692307601,0.0,5.735849056603772,4.076923076923077,5.6923076923076925,0.38461538461538397,27.30769230769231,0.0,0.0,0.30769230769230704,0.23076923076923,5.0,11.0,15.0,2.0,12.0,12.0,2.0,61.0,0.0,1
0.33333333333333304,0.0,0.0,0.111111111111111,0.0,0.111111111111111,0.0,7.7857142857142865,1.555555555555555,6.888888888888888,0.222222222222222,17.666666666666668,0.0,0.111111111111111,1.333333333333333,0.444444444444444,1.2222222222222219,6.0,20.0,1.0,6.0,12.0,1.0,40.0,1.0,1
0.0,0.5,0.0,0.5,0.0,0.0,0.0,8.666666666666666,1.5,4.0,0.75,21.5,0.0,0.5,2.0,0.0,2.25,3.0,13.0,1.0,2.0,4.0,2.0,33.0,1.0,0
1.0,0.27272727272727204,0.09090909090909,0.0,0.0,0.09090909090909,0.0,5.090909090909091,3.0,2.8181818181818183,0.09090909090909,21.545454545454547,0.0,0.454545454545454,0.7272727272727271,0.454545454545454,3.545454545454545,6.0,13.0,2.0,11.0,4.0,1.0,54.0,4.0,1
0.0,0.5,0.0,0.0,1.5,0.0,0.0,7.111111111111112,4.5,7.0,0.75,42.5,0.0,0.0,1.5,0.75,3.5,11.0,16.0,2.0,9.0,8.0,3.0,91.0,0.0,0
0.4,0.30000000000000004,0.2,0.0,0.0,0.1,0.0,5.607142857142856,2.8,5.4,0.30000000000000004,21.8,0.2,0.0,1.8,0.5,3.3,8.0,15.0,2.0,11.0,12.0,1.0,61.0,0.0,1
0.0,0.0,0.08333333333333301,0.16666666666666602,0.0,0.08333333333333301,0.0,8.352941176470589,1.416666666666666,8.333333333333334,0.6666666666666661,18.666666666666668,0.0,0.0,1.0,0.583333333333333,1.083333333333333,5.0,24.0,1.0,4.0,12.0,1.0,40.0,0.0,1
0.28571428571428503,0.14285714285714202,0.28571428571428503,0.14285714285714202,0.0,0.0,0.14285714285714202,8.166666666666666,0.8571428571428571,7.428571428571429,0.5714285714285711,15.714285714285715,0.0,0.0,0.5714285714285711,0.0,2.5714285714285707,4.0,22.0,1.0,2.0,16.0,2.0,38.0,0.0,1
0.0,0.0,0.5714285714285711,0.0,0.14285714285714202,0.0,0.0,7.0,1.5714285714285712,3.428571428571428,0.0,13.285714285714285,0.0,0.0,1.1428571428571421,0.5714285714285711,0.14285714285714202,6.0,16.0,1.0,5.0,8.0,0.0,38.0,0.0,1
0.4,0.1,0.0,0.30000000000000004,0.30000000000000004,0.0,0.4,6.931034482758621,2.9,7.9,0.9,31.8,0.0,0.0,1.0,0.0,4.7,8.0,12.0,2.0,7.0,12.0,4.0,72.0,0.0,0
0.0,0.09090909090909,0.36363636363636304,0.09090909090909,0.0,0.09090909090909,0.09090909090909,6.625,1.454545454545454,5.454545454545454,0.36363636363636304,15.272727272727273,0.0,0.0,0.7272727272727271,0.27272727272727204,1.545454545454545,6.0,13.0,2.0,5.0,12.0,1.0,48.0,0.0,1
0.4,0.4,0.2,0.0,1.0,0.0,0.0,9.0,4.6,8.0,0.4,54.4,0.0,0.6000000000000001,4.8,1.8,3.0,11.0,19.0,2.0,7.0,16.0,2.0,86.0,2.0,0
0.0,0.4,0.2,0.2,0.0,0.0,0.2,11.7,2.0,7.2,0.6000000000000001,29.8,0.0,0.0,1.6,0.6000000000000001,2.8,10.0,18.0,2.0,4.0,12.0,1.0,60.0,0.0,0
0.0,0.5714285714285711,0.4285714285714281,0.0,0.0,0.0,0.4285714285714281,6.866666666666666,2.1428571428571432,5.142857142857143,0.4285714285714281,20.285714285714285,0.14285714285714202,0.14285714285714202,1.4285714285714284,0.14285714285714202,2.8571428571428568,9.0,18.0,3.0,5.0,12.0,1.0,49.0,1.0,1
0.5714285714285711,0.28571428571428503,0.0,0.0,0.0,0.14285714285714202,1.714285714285714,5.84,3.571428571428571,6.0,0.28571428571428503,31.0,0.0,0.0,1.4285714285714284,0.7142857142857141,2.8571428571428568,9.0,14.0,2.0,6.0,8.0,1.0,52.0,0.0,0
0.33333333333333304,0.33333333333333304,0.111111111111111,0.0,0.6666666666666661,0.111111111111111,0.0,7.736842105263157,2.1111111111111107,6.333333333333332,0.111111111111111,21.33333333333333,0.0,0.0,0.444444444444444,0.0,5.777777777777778,8.0,14.0,1.0,7.0,15.0,1.0,65.0,0.0,1
0.0,0.5,0.25,0.0,0.5,0.0,0.0,8.2,2.5,6.0,0.5,28.0,0.0,0.0,1.0,0.0,2.5,9.0,15.0,2.0,4.0,8.0,2.0,59.0,0.0,1
0.0,0.2,0.0,0.2,0.0,0.0,0.0,6.75,1.6,10.4,0.4,14.4,0.0,0.0,0.8,0.0,2.2,5.0,11.0,1.0,2.0,12.0,2.0,31.0,0.0,1
0.5,0.125,0.0,0.0,0.5,0.125,0.0,8.12,3.125,5.125,0.25,31.5,0.0,0.0,1.25,0.875,1.5,11.0,19.0,4.0,12.0,6.0,1.0,93.0,0.0,0
0.5714285714285711,0.0,0.0,0.28571428571428503,0.0,0.0,0.28571428571428503,9.4,2.1428571428571432,9.142857142857142,0.7142857142857141,36.0,0.0,0.28571428571428503,3.1428571428571432,0.8571428571428571,3.428571428571428,10.0,15.0,1.0,4.0,12.0,1.0,70.0,1.0,1
0.0,0.0,0.28571428571428503,0.0,0.14285714285714202,0.0,0.0,11.6,1.4285714285714284,6.857142857142858,0.14285714285714202,24.285714285714285,0.0,0.0,1.4285714285714284,0.0,1.2857142857142851,5.0,17.0,1.0,3.0,12.0,1.0,41.0,0.0,1
0.4285714285714281,0.28571428571428503,0.14285714285714202,0.14285714285714202,0.28571428571428503,0.0,0.4285714285714281,6.0625,4.571428571428571,16.0,0.28571428571428503,41.285714285714285,0.0,0.0,4.285714285714287,1.714285714285714,4.571428571428571,15.0,13.0,2.0,8.0,24.0,1.0,84.0,0.0,0
1.375,0.0,0.125,0.125,1.5,0.0,0.125,5.32,3.125,12.125,0.25,24.0,0.0,1.125,1.5,0.375,4.5,5.0,9.0,2.0,7.0,58.0,1.0,53.0,3.0,0
1.0,0.4285714285714281,0.0,0.0,0.0,0.14285714285714202,0.0,6.6923076923076925,3.714285714285714,6.0,0.14285714285714202,32.142857142857146,0.14285714285714202,0.28571428571428503,1.4285714285714284,0.8571428571428571,4.142857142857143,9.0,24.0,2.0,7.0,8.0,1.0,60.0,1.0,1
0.0,0.28571428571428503,0.0,0.14285714285714202,0.0,0.0,0.28571428571428503,6.958333333333332,3.428571428571428,11.428571428571427,0.7142857142857141,32.857142857142854,0.14285714285714202,0.0,2.8571428571428568,1.0,2.0,9.0,22.0,2.0,7.0,16.0,2.0,62.0,0.0,0
0.0,0.5,0.25,0.0,0.0,0.0,0.0,8.4,1.25,6.0,0.0,14.0,0.0,0.25,0.0,0.25,2.0,4.0,14.0,1.0,3.0,8.0,0.0,25.0,1.0,1
0.7000000000000001,0.2,0.0,0.1,0.0,0.1,0.9,6.866666666666666,4.5,6.4,0.2,37.7,0.0,0.0,1.6,0.8,4.1,13.0,19.0,3.0,10.0,12.0,1.0,112.0,0.0,0
0.1,0.0,0.30000000000000004,0.2,0.0,0.0,0.0,12.333333333333336,1.5,10.4,0.8,28.8,0.0,0.0,2.2,0.4,1.5,10.0,24.0,1.0,4.0,20.0,2.0,63.0,0.0,1
0.5714285714285711,0.4285714285714281,0.0,0.0,0.14285714285714202,0.14285714285714202,0.0,6.25,3.428571428571428,3.1428571428571432,0.14285714285714202,27.0,0.0,0.14285714285714202,1.1428571428571421,0.8571428571428571,3.0,9.0,11.0,2.0,9.0,4.0,1.0,56.0,1.0,1
0.8,0.30000000000000004,0.0,0.0,0.30000000000000004,0.1,0.8,6.75,4.4,9.7,0.1,34.4,0.1,0.0,0.2,0.1,3.9,14.0,19.0,4.0,14.0,12.0,1.0,100.0,0.0,1
0.0,0.0,0.33333333333333304,0.0,0.0,0.0,0.0,10.916666666666664,1.333333333333333,9.333333333333334,0.6666666666666661,19.555555555555557,0.0,0.0,0.6666666666666661,0.33333333333333304,1.0,9.0,22.0,1.0,2.0,16.0,1.0,33.0,0.0,1
0.5454545454545451,0.0,0.0,0.0,0.7272727272727271,0.09090909090909,0.36363636363636304,11.242424242424242,3.0,7.636363636363638,0.27272727272727204,41.72727272727273,0.09090909090909,0.27272727272727204,1.636363636363636,0.818181818181818,2.0,10.0,22.0,2.0,8.0,16.0,1.0,110.0,1.0,0
0.0,0.33333333333333304,0.0,0.16666666666666602,0.833333333333333,0.16666666666666602,0.16666666666666602,5.9444444444444455,3.0,14.666666666666664,0.6666666666666661,28.5,0.0,0.0,2.0,0.5,3.833333333333333,7.0,16.0,2.0,6.0,20.0,2.0,43.0,0.0,0
0.0,0.0,0.33333333333333304,0.222222222222222,0.444444444444444,0.0,0.111111111111111,8.555555555555555,3.0,3.5555555555555554,1.0,35.444444444444436,0.111111111111111,0.0,3.333333333333333,1.111111111111111,1.666666666666666,8.0,30.0,2.0,7.0,8.0,2.0,88.0,0.0,0
0.0,0.16666666666666602,0.0,0.16666666666666602,0.0,0.0,0.5,8.0,2.5,8.666666666666666,1.166666666666666,30.66666666666667,0.0,0.0,1.666666666666666,0.833333333333333,2.0,9.0,17.0,2.0,5.0,12.0,2.0,56.0,0.0,0
0.0,0.4,0.2,0.0,0.0,0.0,0.0,5.466666666666668,3.0,16.4,0.0,21.8,0.0,0.6000000000000001,1.2,1.0,1.4,5.0,14.0,2.0,6.0,46.0,0.0,44.0,2.0,0
